user_id,msisdn,call_cnt_day,avg_actv_dur,iden_type_num,call_stu_cnt,rule1_burst_block,rule2_sim_farm,rule3_student_targeting,rule4_wangiri,rule5_social_engineering,any_rule_triggered
tYWsknzgJYQUx0OB4GQitodTiqhYh3b6vFoB1AEB5YA=,6pTcgqb2jtxuT3r+bksWiw==,34,56.0,10,0,0,1,0,0,0,1
wOtinpKDsVaD9JvkmHcv2CkAFKbtzzJ0g2q6ZSqeOIY=,YhmnkixUQqIMAgWlYrePzA==,2,21.5,10,0,0,1,0,0,0,1
ydKyY92SN002Kqnu6WXCBnjOskzB3nNN/8eq56CldLo=,vfIRj4//A3CXAX/vjfHbUA==,15,108.2308,10,0,0,1,0,0,0,1
/bOPQnC7p+v9SyjsPqIJvhpBV+659nwopk3PNCNQMeo=,B9ZuL3fNEaL8hLCxbpAgTg==,24,88.0,10,0,0,1,0,0,0,1
39DqrgJ0whcu2rutfe3/C5zeTE9VcIIIJ5D0PgWXDFA=,9IKYRLF20MLaV6WuJl3tQw==,58,9.6552,1,0,0,0,0,1,0,1
5vRhLS2ux4KEXyeSwHYtMd4m8bX4ZHeIGY08rVbhTDw=,JpNy+75C/hoJYxm0xXvUAg==,22,41.5238,10,0,0,1,0,0,0,1
GoazWGTpESyzdiYWOtbHuuYO/+tJqSf2I/nyx48gHBE=,auY1VxfRzDd6+1ftJNea7A==,116,51.3707,3,0,1,0,0,0,0,1
GrFohhPadRKaxReO1rOvcmyejUJ6xhVbsut4qPA3HsU=,Lq5hDRDPiGf2xhTq9Vtxqw==,16,85.75,10,0,0,1,0,0,0,1
PQWXQHdPhI1lPov5DjDR1FfoQIRWvD8g3+PXBBit0yA=,URs243y/xOG/ivAMJgFm8g==,31,63.5,10,0,0,1,0,0,0,1
UY2uAr0B7yYHMxH20Ada2p/LyyJVSl2zZljykZWcuEc=,dOvhRUe8fEfpH/BwdP+RWg==,97,186.1299,10,0,0,1,0,0,0,1
eMqEBWHwlq/hFU/JyTWpMDDqObYYM8sKrX4fe+VTes0=,Wo130pvtGbittyT/k+dZhg==,36,65.75,10,0,0,1,0,0,0,1
zlIko9zuffui69vDIhWLGCG18qGetde5ctRoQrB0EBo=,aSCYVNmSncKWZhupB5Df5A==,20,258.0,10,0,0,1,0,0,0,1
/2Ul5/NSn7ex2aKPCxdlaCkAFKbtzzJ0g2q6ZSqeOIY=,eRWH+yHVQl0JD03OtiqqnA==,17,138.75,25,0,0,1,0,0,0,1
aHWmsD8pvlBjHY6GWmvKTPlefBFiprKvFiTspRGEImA=,tubjwRXgWjhZhkCbgSPPMg==,33,84.25,10,0,0,1,0,0,0,1
1/bUzWEi9bZqkfuJiY3a2PeOWZnJpZ94UHUsD+J4CMc=,Mqk3Uu6wntUfF9VeQ/T7ug==,8,67.125,10,2,0,1,0,0,0,1
DuybRPBoXrVtnXUFt20S8cjCBV/gPaDxOrOQ6Yhnx+E=,IloKhx8wR4sMefYgDjpDrA==,38,93.8788,10,0,0,1,0,0,0,1
XneyJiVC1+BpAoQnitAoeluK7HrLNf8Jv4Rl/UPu6Pc=,KT9GvqRsmyfh4nFssa986A==,38,74.1176,10,0,0,1,0,0,0,1
aHWmsD8pvlBjHY6GWmvKTPlefBFiprKvFiTspRGEImA=,tubjwRXgWjhZhkCbgSPPMg==,33,84.25,10,0,0,1,0,0,0,1
fNI4gnqji3L9gU5sANht94dTiqhYh3b6vFoB1AEB5YA=,VW42JhYN9Ap4iqzyL6NUhg==,88,43.9595,10,0,1,1,0,0,0,1
/CxGC3XBar3uT9PpoNtM8osEdraodmcpuNjYKDAPsyM=,5Ba4wIDFlvANngoXEnZnRQ==,11,161.3636,10,0,0,1,0,0,0,1
1E1ioOSuIvb5PCJ3kbL2YBYLP8kxZC8tpEnWBHkiiTY=,6PQq5vNNVNFD9jP2r0roOg==,43,31.2619,10,0,0,1,0,0,0,1
COSXPROxwfgQ7sZPh7SWhwbsDQ/rPAyfekwEOJeTpPY=,0f10LURrE4yp9gDPUdxiFw==,34,101.6522,10,0,0,1,0,0,0,1
CjQ2M+GoekIareG0gkdvK7IUIcU7oi9gvVdx90RPvMk=,wLzNMHcth7t2XHfB36aNmA==,1,1094.0,10,0,0,1,0,0,0,1
GktJeDNRQyMrKPv8PY4URRy2O2Srh5z5xaPAWdxYlt0=,m1rGaGHG7U3sR6gKexLD3w==,8,125.75,10,0,0,1,0,0,0,1
R/kwsXrFfkBgyVsb+DQ4+9tdQ04S0y26suakqQ51CV4=,TTfV0jTdxelw+nBl1f8rkA==,50,82.72,10,0,0,1,0,0,0,1
YtxB/+rFyUh7GFBdx9uitd4m8bX4ZHeIGY08rVbhTDw=,jXPs5+qFK5IRHuXp9ivxZw==,22,28.8636,10,0,0,1,0,0,0,1
Z37fM25x7yDaoAHMAJRQycw7Da9tv3bfidzDpGer01E=,WbuoAWVw9yfUfNxzk+xaUw==,15,93.2,10,0,0,1,0,0,0,1
oysa/881XyHp+y6Jm/0Z/o2deu7+NM6Pgih/E9LN4YI=,dbiJddFWnNNmYnZ552dfOA==,25,135.1304,10,0,0,1,0,0,0,1
/JeIVB7ELzAev0q2ERUt9T7QgeBhtbFwQJfgVvnVJsE=,dUACHICl+9gokX08PVx9Yg==,65,154.5556,10,0,0,1,0,0,0,1
2Y2O7E/j1mtdIpcoM4zEj5lXvijFPs06ihsNoTcKKbI=,LjDf+oXes5rLwrDyxdMQMA==,66,135.4074,10,0,0,1,0,0,0,1
AYfVeJG+HRfw/qBqggmuileifiWv1Ig9Zb1QH61Gi4c=,u6ML5mEbJRPXy5iuaMdQJA==,39,72.5882,10,0,0,1,0,0,0,1
SZ5PsICMRCVgS96GdtLXQlNZog87arypl49WWDgqXms=,H5eFxyczzwYtzRGvoOKazA==,2,920.0,10,0,0,1,0,0,0,1
XneyJiVC1+BpAoQnitAoeluK7HrLNf8Jv4Rl/UPu6Pc=,KT9GvqRsmyfh4nFssa986A==,38,74.1176,10,0,0,1,0,0,0,1
akSa7cLmSZ5R1DbkTFNh6hutJqw0FaTuOUFTqFgBsHk=,RKmZ8i4zGwtnrZceoD7sVw==,49,47.425,10,0,0,1,0,0,0,1
ktxGf6lGM48RcLRjOMNjZTDqObYYM8sKrX4fe+VTes0=,cvH4XHAaWNAu7BRufPpurQ==,33,95.4516,10,0,0,1,0,0,0,1
zqxlb/9QFtIWcMkh/SazyJlXvijFPs06ihsNoTcKKbI=,I9E62dfjzprBsFGnX85+3A==,25,108.48,10,0,0,1,0,0,0,1
0RSal9Y16P/BX+8GK+Q9OyG18qGetde5ctRoQrB0EBo=,zmEl5T1nLFM9LpXEm6OMGg==,67,145.434,25,0,0,1,0,0,0,1
3qdNOgI81LKLd/SsCzSiHDfp3nUE0V3qeDSyGRYimxM=,cGA5je2TA0wGwzF5/JKrMg==,48,78.6596,10,0,0,1,0,0,0,1
MYCocyd4QplS0wKmZw5zWePzA483UZUo9vwmlCQpj1U=,kRxIG3ZHWGwSCkBBfyIxVQ==,12,186.5,10,0,0,1,0,0,0,1
kIZsBuxPEZcPKRzWkAGO13vmmFRz39HJuyF7J6o53Ag=,PDtu6knhJo84MTjMl6H9rg==,14,58.0714,10,0,0,1,0,0,0,1
wVsMvEgDHihLz7Am1xHeFkNHg6o86aj91nPqbuKk2qQ=,Z6jPYUmTJb7yul2O5BT6nA==,23,154.1,10,0,0,1,0,0,0,1
/SoBNnjxqRtKfEztgSaTO6oNQIyvnjG3Gkn7nb+ddLg=,my+P9iOo44xgFDjFKkJB1w==,12,20.25,10,2,0,1,0,0,0,1
0/CbVtf8zjiIpcfUs2r3kefeIezxQyM84PxICLLMI1E=,rWxCl6ughGrtFBx9WaSS4Q==,23,87.5455,10,0,0,1,0,0,0,1
DuybRPBoXrVtnXUFt20S8f0H5L998vYXICT/cwfwYsY=,Op13Q/1kH3/usQkdQvJiGQ==,60,209.4035,10,0,0,1,0,0,0,1
Lmp9NYQ0l7Z6U8awuqo9WJzeTE9VcIIIJ5D0PgWXDFA=,VURalK9ahE1BPB7uLIcxpQ==,37,53.1714,10,0,0,1,0,0,0,1
SZ5PsICMRCVgS96GdtLXQlNZog87arypl49WWDgqXms=,H5eFxyczzwYtzRGvoOKazA==,2,920.0,10,0,0,1,0,0,0,1
bhqEvGPMSu7mCEycW8qTu/EPNkL7x7LjGDA+Fv3K2hY=,e2e5dz+RH8WpLI5nX5gslg==,15,46.5,10,0,0,1,0,0,0,1
eP8fuLsPl+xuVCqc0ZazcGDHkZmRCJdvtX51GsI0XS0=,qS9FpWBDHej6orE9N3PEfA==,27,100.2381,10,0,0,1,0,0,0,1
lvzPtBYLlx6bV3bnJIfVvlB6ZM7mHIQSYQmwuZR/D+U=,12wjZ9ycUDqTsVwB8N8PjQ==,35,45.2121,25,0,0,1,0,0,0,1
oHlBqxLT1kZfoWtupGm6OVB6ZM7mHIQSYQmwuZR/D+U=,3wjNUpnsO8n9IFQXIhBY9A==,89,6.7865,3,0,1,0,0,0,0,1
oqpm9phMyYXSnNNPNwmYFXjOskzB3nNN/8eq56CldLo=,XBbjTO8Ie939Va7xilGxPg==,4,171.0,10,0,0,1,0,0,0,1
1TyF51C5uqcUZAvzHNCmw5lXvijFPs06ihsNoTcKKbI=,mZH8yjqW1fsy9hkrCcMnVw==,29,461.913,10,0,0,1,0,0,0,1
2g6b3k/vffzNNV14AQVYD/QpAhT0gUyujr46JZJBLqc=,ceBJwhsxn1ILXOA9O9+pFg==,56,68.0,10,0,0,1,0,0,0,1
ViLfjZ2Kv0eQEnp3zB/+QLeP+ffndjPBY94xvXcvRZQ=,dpHALIqqjXaBzc1OYqPd5A==,28,105.0,10,0,0,1,0,0,0,1
Y7f+/T+N+d0VUpjQ2EagUdGe4cut0Td3vpjk5PBEqms=,iBmon6Cxgwc/tFwUmfRU5Q==,51,121.4545,10,0,0,1,0,0,0,1
YI1PUa5XBl07pEeCmI9sCJlXvijFPs06ihsNoTcKKbI=,8ekpLzLRWTz+QK2a/qobrw==,22,295.45,10,0,0,1,0,0,0,1
h1yG/+oQZHP6UL+3F6RYXcqX0+a+Uej8Gf7kQNc4Tgw=,bdRRVRFGWu40EBVXnwMe/w==,84,87.0,10,0,0,1,0,0,0,1
ktxGf6lGM48RcLRjOMNjZTDqObYYM8sKrX4fe+VTes0=,cvH4XHAaWNAu7BRufPpurQ==,33,95.4516,10,0,0,1,0,0,0,1
ktxGf6lGM48RcLRjOMNjZTDqObYYM8sKrX4fe+VTes0=,cvH4XHAaWNAu7BRufPpurQ==,33,95.4516,10,0,0,1,0,0,0,1
perY7kahb/2LyH2qswuQXMJz8FJObTxnkzV/sg69qdg=,dcCnIIsJNfqio9icrq1/lQ==,44,172.5714,10,0,0,1,0,0,0,1
7xJIyj5JgR6KONMaMKPHf8IxfT2aQbQml09ZmIWgb/g=,6J8dVxfW2OwcqOj+sC/vMg==,11,86.6364,10,0,0,1,0,0,0,1
ARgRPZCgGQsLRtphmtmfusJz8FJObTxnkzV/sg69qdg=,lXs8lCgjDoD814mTWRVH6g==,24,54.8696,10,0,0,1,0,0,0,1
AYfVeJG+HRfw/qBqggmuileifiWv1Ig9Zb1QH61Gi4c=,u6ML5mEbJRPXy5iuaMdQJA==,39,72.5882,10,0,0,1,0,0,0,1
Ds7TVCU05Jh//J1mIOfpM/u2QO6peulT9PvoPjGdQMI=,5m0SVzt2fDRj+5V/up52YQ==,14,110.9286,10,0,0,1,0,0,0,1
ZBLQ3U3toVN1uMOuecOu5mORvezCKwDFsqsGL3XSf3s=,cbZmNt9FhoKe503VIHaj+Q==,15,28.75,10,0,0,1,0,0,0,1
il8r9NKEbNpR7V/Mfu3BXjDqObYYM8sKrX4fe+VTes0=,CketHldJAmT+5VeNkZd3TQ==,55,14.1569,10,0,0,1,0,0,0,1
oysa/881XyHp+y6Jm/0Z/vEPNkL7x7LjGDA+Fv3K2hY=,Ra58yks75ibX0CSVkh6MAg==,30,159.0357,10,0,0,1,0,0,0,1
sHDI1+9re6JWdRE8dC835YqM8pLSTgbE2YNECvBI8zg=,C8EGfKAXbpXwlja1xGMKQg==,37,98.2571,10,0,0,1,0,0,0,1
9U97rR4HhWOwUhUOUA8SwdtdQ04S0y26suakqQ51CV4=,kRzy94hHSlW8cZyEOAZynA==,8,110.4286,10,0,0,1,0,0,0,1
Bc85skl8016+UkFAn/XTMk9oANfbIRJalb+FTiQL3Sg=,Wu0lK9cy+uDQlZNSMdJgxw==,6,10.8333,25,0,0,1,0,0,0,1
HoukkLaLFUy3hK2sze1+TKoNQIyvnjG3Gkn7nb+ddLg=,5q9vUDLYpfl0Ecj16Z+0dw==,59,84.8571,10,0,0,1,0,0,0,1
YtxB/+rFyUh7GFBdx9uitd4m8bX4ZHeIGY08rVbhTDw=,jXPs5+qFK5IRHuXp9ivxZw==,22,28.8636,10,0,0,1,0,0,0,1
fNI4gnqji3L9gU5sANht94dTiqhYh3b6vFoB1AEB5YA=,VW42JhYN9Ap4iqzyL6NUhg==,88,43.9595,10,0,1,1,0,0,0,1
m8CdhIb4UrQJGJAVzsYTMiBtUPJ47BrskAyjbI0DG/E=,P4nxJae4ng6k2OxKj/Hd1Q==,37,89.5152,10,0,0,1,0,0,0,1
oduSF0t82+58lue9P253E9tdQ04S0y26suakqQ51CV4=,PHiVzO7Iwsn8EkO3XKQQOQ==,52,93.587,10,0,0,1,0,0,0,1
pS9GJA+U5Xv1GTiCN/WO0ENHg6o86aj91nPqbuKk2qQ=,ba4ed9dmOCZ30NydBHLFZQ==,57,78.283,10,0,0,1,0,0,0,1
EQTNx+/rfZnPC7xAF3UOSb3LKvugDyeBhPzcNJKdoXM=,qqwLbZaokDHmVYA28yh6yg==,24,177.4545,10,0,0,1,0,0,0,1
LfZRqe04PNSsdFqI1MyYevEPNkL7x7LjGDA+Fv3K2hY=,hOhCHAL3tN11prZ5u3EOtQ==,84,73.8955,10,7,0,1,1,0,0,1
PuIrYGMktou5Fe63Lz0t8sSAOX1Q/R1st7hS1plL/SY=,1yfls30m1YTFqL4eOzxkaQ==,18,26.5294,25,0,0,1,0,0,0,1
Xb5DsM+LQjU+RlkcRR0jSlfoQIRWvD8g3+PXBBit0yA=,70u8bnleilpaiAyD3CEtvQ==,63,46.2407,10,0,0,1,0,0,0,1
kIZsBuxPEZcPKRzWkAGO13vmmFRz39HJuyF7J6o53Ag=,PDtu6knhJo84MTjMl6H9rg==,14,58.0714,10,0,0,1,0,0,0,1
m8CdhIb4UrQJGJAVzsYTMiBtUPJ47BrskAyjbI0DG/E=,P4nxJae4ng6k2OxKj/Hd1Q==,37,89.5152,10,0,0,1,0,0,0,1
oCJ1sZ96NCZVfgtX6jMEHaoNQIyvnjG3Gkn7nb+ddLg=,5ZXUhNXR0mC/BM+KF/F1Hw==,79,55.386,10,1,0,1,0,0,0,1
+yqj2S7a93wmhDob76pnNrur7M7+Fgs8q+bv0zNNsOA=,K/EqypGk4ne/0n6Wyx0zxA==,9,39.5,10,2,0,1,0,0,0,1
8Sl+cKQoPH/Wr3e5XNLWgc9yVqZBson7sb35R4s/Ec8=,gGpTerv73MMwnWGqsCJ7Mg==,55,215.1957,10,0,0,1,0,0,0,1
BFBy/KaEY5a6bnFVFQ6y5WDHkZmRCJdvtX51GsI0XS0=,PD2k/mZwQfeFWnJP1CnPzQ==,36,90.0938,10,0,0,1,0,0,0,1
tYWsknzgJYQUx0OB4GQitodTiqhYh3b6vFoB1AEB5YA=,6pTcgqb2jtxuT3r+bksWiw==,34,56.0,10,0,0,1,0,0,0,1
w1t/O2BcxhD41vv2rdCpsLur7M7+Fgs8q+bv0zNNsOA=,mIUnbHfzc5cZtaFrF68H9w==,65,82.8085,10,0,0,1,0,0,0,1
zoy1c1dmwwDQt2H4eDByC7yxMvj5AnYYvxMGqxONSxY=,am2c/KGkYFjqg1EtfRyJKg==,33,60.375,10,0,0,1,0,0,0,1
0cWZNYeWS7OcyNETd5M/DI7HmjcUDlDTU4/wgL90T48=,EYSetMNoB4nSKw43MV/cpA==,16,121.9333,10,0,0,1,0,0,0,1
6J2dknpfX9qyr2gcvJh6Myi50R481CmjPiuw3ubWbCA=,B1lj66193yVdjqRLhGct6A==,7,27.4286,10,1,0,1,0,0,0,1
GrFohhPadRKaxReO1rOvcmyejUJ6xhVbsut4qPA3HsU=,Lq5hDRDPiGf2xhTq9Vtxqw==,16,85.75,10,0,0,1,0,0,0,1
SG+b2bIbh4ayg4Y+xCg6NX3AxIi0Gx7d89u3Ep9biA4=,VeCwNfbcHSFaSrRRYhh1ug==,39,117.871,10,0,0,1,0,0,0,1
kEJsx6QPtwPFq8WC3Q9c1LeP+ffndjPBY94xvXcvRZQ=,ryzHDdbi1Go/8dexhhCnZA==,37,180.0556,25,0,0,1,0,0,0,1
ktxGf6lGM48RcLRjOMNjZTDqObYYM8sKrX4fe+VTes0=,cvH4XHAaWNAu7BRufPpurQ==,33,95.4516,10,0,0,1,0,0,0,1
zGrObbjwg0Ipg10FwRT1JIsEdraodmcpuNjYKDAPsyM=,A1qY+ymVnt8u4htnXSqN5w==,52,79.8108,10,0,0,1,0,0,0,1
/OE6qTE5TlveeoRa24Job1NZog87arypl49WWDgqXms=,ftY6QKN+LZWavvIdQs13kg==,114,220.1702,10,4,0,1,1,0,0,1
GJtr5K7vJWD+divfyCjRyUNHg6o86aj91nPqbuKk2qQ=,GeDSaDPqpz7qJEzNil4IUQ==,8,242.1667,10,0,0,1,0,0,0,1
aM/d2Cfw+hZNwJffS+/9TH3AxIi0Gx7d89u3Ep9biA4=,rhpJdNSXdQe0DgtBnMDoWw==,6,379.2,10,0,0,1,0,0,0,1
bBgBNv9qNnM/zrXhkGwLxLIUIcU7oi9gvVdx90RPvMk=,wunel+bQBC49pzwWws7Rxg==,27,129.3,10,0,0,1,0,0,0,1
iv5U4aYmhDfHlzLVcSnCm0Qjs7G9PprWbjy+Y/cDMro=,FNF1Lt9e6ollESoiX5awWA==,33,79.4333,11,0,0,1,0,0,0,1
oCJ1sZ96NCZVfgtX6jMEHaoNQIyvnjG3Gkn7nb+ddLg=,5ZXUhNXR0mC/BM+KF/F1Hw==,79,55.386,10,1,0,1,0,0,0,1
u5V/Ue4nsZROojqyeFM8SYdTiqhYh3b6vFoB1AEB5YA=,ItvhV6XewF9g20zw5vojjQ==,18,134.5294,10,0,0,1,0,0,0,1
/SoBNnjxqRtKfEztgSaTO6oNQIyvnjG3Gkn7nb+ddLg=,my+P9iOo44xgFDjFKkJB1w==,12,20.25,10,2,0,1,0,0,0,1
/SoBNnjxqRtKfEztgSaTO6oNQIyvnjG3Gkn7nb+ddLg=,my+P9iOo44xgFDjFKkJB1w==,12,20.25,10,2,0,1,0,0,0,1
0cWZNYeWS7OcyNETd5M/DI7HmjcUDlDTU4/wgL90T48=,EYSetMNoB4nSKw43MV/cpA==,16,121.9333,10,0,0,1,0,0,0,1
5qudUrHJT0qMsGhR23v0dLLx+yVDQy+YY05qz9NFu+Y=,r9thF49FhW7kVIrL71x2nA==,57,83.0784,10,0,0,1,0,0,0,1
5qudUrHJT0qMsGhR23v0dLLx+yVDQy+YY05qz9NFu+Y=,r9thF49FhW7kVIrL71x2nA==,57,83.0784,10,0,0,1,0,0,0,1
SZ5PsICMRCVgS96GdtLXQlNZog87arypl49WWDgqXms=,H5eFxyczzwYtzRGvoOKazA==,2,920.0,10,0,0,1,0,0,0,1
USucPj+38UAjiNJmcQvMcc9yVqZBson7sb35R4s/Ec8=,g/ETtWgeBISmwAKB7ZT1KQ==,17,127.6875,25,0,0,1,0,0,0,1
ktxGf6lGM48RcLRjOMNjZTDqObYYM8sKrX4fe+VTes0=,cvH4XHAaWNAu7BRufPpurQ==,33,95.4516,10,0,0,1,0,0,0,1
/sewlPQ2ruLCrJV8OHEW2cLTmugbKZ3U9c9h6o1Wy+c=,eO9sP/xJ82DpNlQZ5basYw==,21,102.15,10,0,0,1,0,0,0,1
PEuC+wnXeyNGt6ye18ROSSBtUPJ47BrskAyjbI0DG/E=,1wdjtsNALiBBWR3anYG/Pw==,38,111.9375,10,0,0,1,0,0,0,1
aWOheXH0/OWtBCVSn0GDIfruB7HdbJ46asaF0cWWKTE=,yvYuKFFSP08nV1/Bem7i8g==,21,216.9375,10,0,0,1,0,0,0,1
el2fVH6eo6CetyxoQOtJibeP+ffndjPBY94xvXcvRZQ=,ohV9r2Ot8l+DFMO3OoRa5w==,4,72.75,10,0,0,1,0,0,0,1
msEaYc6gh/uKHzcREY9MdP0H5L998vYXICT/cwfwYsY=,xME3ogZ7jtePOrgig3Zu/Q==,42,133.6944,10,0,0,1,0,0,0,1
pJuiQhiFxtpyd+QUKdKQWPlefBFiprKvFiTspRGEImA=,Z5ZWWK1u2jwJ/T9T+GUrxQ==,44,83.8824,10,0,0,1,0,0,0,1
u5V/Ue4nsZROojqyeFM8SYdTiqhYh3b6vFoB1AEB5YA=,ItvhV6XewF9g20zw5vojjQ==,18,134.5294,10,0,0,1,0,0,0,1
41+KwZaEkQx+2qk9aZDcpFuK7HrLNf8Jv4Rl/UPu6Pc=,fWZ1a1Qe3i4JSLHUAsuE3g==,34,25.6765,10,0,0,1,0,0,0,1
8Sl+cKQoPH/Wr3e5XNLWgc9yVqZBson7sb35R4s/Ec8=,gGpTerv73MMwnWGqsCJ7Mg==,55,215.1957,10,0,0,1,0,0,0,1
Gu/PdXXGja61xby3pMM/aZ8pugM5DcRGk59PcFehokI=,MrEpEuRl6RC/MqmM6GE2Sw==,44,444.5313,10,0,0,1,0,0,0,1
Gu/PdXXGja61xby3pMM/aZ8pugM5DcRGk59PcFehokI=,MrEpEuRl6RC/MqmM6GE2Sw==,44,444.5313,10,0,0,1,0,0,0,1
ImrkCXDHNRyfNdh8gs3GSB2OqEIsylzL2IeQw5d0k8A=,/d7NkveUvEaFAOZhHvG5/A==,75,63.1667,10,0,0,1,0,0,0,1
V9xUtlMEbDCZoZ5Q/qSVQ70a85oPOFr1GkpsXio6Lrk=,mCVmYPipq/0yNaaD7Xqgsg==,48,178.7059,10,0,0,1,0,0,0,1
Wo5+cGT9bpkqMkY+Qts+6xutJqw0FaTuOUFTqFgBsHk=,j8bslrH+n2t8pcPTef+Ziw==,23,370.9375,10,0,0,1,0,0,0,1
gToQOyOWMMeEvNtNleXDAiHUSM8ul/JTdxi06GTwFDg=,eGPhbfCk4sQNEmVbhLLcMA==,14,36.0,25,0,0,1,0,0,0,1
qAciyCnNGKkAunmxHnmvG/uc1I981vR2DRB0ODujyWk=,6FBWGrttwF21VRntzYy1pA==,95,16.9894,2,1,1,0,0,0,0,1
qGqzpiwcAAhImx83wLyAkA5LmpLus5a6/anZBn0iWok=,fVYpBXEp4tseSP+H7ZlqlA==,43,27.7805,10,0,0,1,0,0,0,1
PZrYfFU24MyEF9jaJVOrnvQpAhT0gUyujr46JZJBLqc=,gQ97nLGSmZ+3pYdbHl9lsw==,10,1402.5,10,0,0,1,0,0,0,1
zlIko9zuffui69vDIhWLGCG18qGetde5ctRoQrB0EBo=,aSCYVNmSncKWZhupB5Df5A==,20,258.0,10,0,0,1,0,0,0,1
049epicx60FPxIL63N9eUnvmmFRz39HJuyF7J6o53Ag=,PGvkJ4nMsXw0mHbL5PCURQ==,48,150.4324,10,0,0,1,0,0,0,1
G7ezUOInk1mDMn1EEvG0DHw/6fTgQ97WdRmoGEPUKVc=,7jTPnC723Xr0+J+4E1h2/Q==,27,116.913,10,0,0,1,0,0,0,1
nCexo9vcTyidcjmJawk7iSi50R481CmjPiuw3ubWbCA=,Ifr4YEaHajONbNdBWG+SNA==,6,1227.0,10,0,0,1,0,0,0,1
semeiLPZy7JOaMZ76MvCPBWpXqiACSbtEACfxbJD8Zc=,a6REhsfvV+T2+KRTWYH/QA==,5,71.8,10,0,0,1,0,0,0,1
zlIko9zuffui69vDIhWLGCG18qGetde5ctRoQrB0EBo=,aSCYVNmSncKWZhupB5Df5A==,20,258.0,10,0,0,1,0,0,0,1
4wPwU2QWjRj8yIxRtCA/v4QfEPy474LHgiH+DqE/Q/U=,uQFU0tzA/cY3pZw38LOUmg==,37,62.0606,10,0,0,1,0,0,0,1
ARgRPZCgGQsLRtphmtmfusJz8FJObTxnkzV/sg69qdg=,lXs8lCgjDoD814mTWRVH6g==,24,54.8696,10,0,0,1,0,0,0,1
YGDg7cggY35Dn0FBq63v7MjCBV/gPaDxOrOQ6Yhnx+E=,NC55fwT+9AkvfiKRAcCBjA==,42,97.8824,10,0,0,1,0,0,0,1
oSywjKEdqy5DQdSE34clDYqM8pLSTgbE2YNECvBI8zg=,t3avB4WVygT6eIoKS9In4Q==,34,23.3226,10,0,0,1,0,0,0,1
