user_id,msisdn,risk_score,high_risk
hPeIgrTNtCxEzmZeiLfJpQ==,HqnWZ4HMCDM4lPrCTNtNFw==,0.35,1
khRGdRwiKRIdAkRHSsJW9g==,agpvc4JD2SYCkd7Dwv+1pA==,0.26,0
URSOv25nj61Vh7Yoxy5Smg==,+/dyo0RGyT0BqaJpYIrIPQ==,0.26,0
O9XLY4fyyN915QQq474PQA==,PgGOo0CGKcT8vH9TE1pxmw==,0.26,0
jHqSGXk6244k4HxFkbD3PA==,GlgSjZYPl98+42rRV2V++w==,0.26,0
ZKcjmgI83qMwY42/rsx+QQ==,gubr35T+4QtEYDjKHj2WOg==,0.26,0
RS0CjOiXY+/1FFcXG8jDlA==,VwyLkYbG8w/voZbrI3r5cg==,0.35,1
CcG/zwM5NMLOPlnrfV1Wiw==,sMKn9uQJoQzFRYwYJuthJg==,0.305,1
Stc80R3xwbr3lEXFcHbBqA==,Zqn/QrVhGgN6yZ6TaeEdqw==,0.36,1
BNktTFE8OdtgVHGh5jCP1w==,XDK6ryi2MPrniBuRfkOQ2g==,0.26,0
lmXLLbXfvjMmtJKqyY/ZWg==,r+vax7r3Z2qOWyuPWo+2bg==,0.26,0
cttJPFcfMWxuejVsTXsc6A==,EJXmS2Cdw4yCjbl+dPPw0w==,0.305,1
N+14nstZGFpJyafcgPhEaw==,x8RrN8ppVGY3UITlh8Uy2w==,0.26,0
xq9JO/0QAlkScR1LmS3DZg==,Bbf+O7PdiN7acfk8Jm8q5A==,0.26,0
cIPOu33Ypa87WZLZgTdd/g==,jJaQI33n0uXgXN/1FxYxSg==,0.35,1
UKQqf2SqnRvp1U84MQPzIw==,tivTD7ZJDrSgpLAuSrvuyA==,0.305,1
uBNA2Tvyl9OG2U6qWzcW+w==,1xDVBCXlWbgGbRaVzLUjkQ==,0.35,1
gEtQ7Fq4PKRh4B2ERtwzhQ==,a3XQQeIBGXB7wmU7QbIl4w==,0.305,1
UZGXq+UJp7PYiOEwDyKUgw==,P+qhzm7cZ0ATiEINjD2YGA==,0.26,0
9CbKZ/OR5QJzYyw79M/buw==,NPW4VPD1PCyxHp7cHo9W/Q==,0.26,0
d+itOlDQigfHZhwvmLNQUA==,QvugRPezNVfXm07di1oyAg==,0.26,0
DBb1+laoF22j4sixfdYs6w==,IF/4EaRpiUQ2lmTsBK0v5g==,0.26,0
+uOQT4CDzQMRvq0smBBOYg==,HDp4Ojfv+c/yx9dkAwRLMA==,0.305,1
uzO+uJC23LYYW94Nlsm5Ww==,9QPh9hHRFuXIwswqiiQ9Wg==,0.26,0
RoBbeFNUkKuvgVNRBz8Jzg==,Kp1SOlDPWomiS4HwpWCP5Q==,0.305,1
ErRRK1wOthdbnilLBLjgyw==,DNGmQVEMCtOK4+n5xrIKXA==,0.305,1
sjNrtnFQTwwRLSdpJ6fLew==,kculwV4/hR74nLmgv8+DCw==,0.305,1
5T8GzfeDmoNZKmCczldlHw==,MYOxHIG9YdUZ7ffb41p4mA==,0.305,1
R8bpV2CuRb1eBn8cpu37Mw==,QTqzpWGa34xq6IzJ9lW9OA==,0.26,0
RqQfEKm/MRtaN3InfGXUyw==,8ZYejCaWlHtND3v+KtMsjw==,0.305,1
/c0bnj5EJuv/naRN0czxsQ==,PWCUNCAAk0vrJJRDXGDRmw==,0.35,1
D/eGRzJGZSwbQPrq27noWg==,9oepgXy+fu0coHe2F77hvQ==,0.35,1
9GFlOI50LFMHmzHcXEH6FQ==,xEiJeoTNH1ivC0maqOAk7A==,0.35,1
LrEEtqUprRxsAMv0iWgc2g==,q9kjDKMDKbRDzJxBWugQeg==,0.35,1
kwLfCQDMXR6WtGX5astvVA==,Uycg+f4OIYAn3XD6GOhtgQ==,0.26,0
WwaziYIW9kLHY91JCqpQRQ==,4UgbNhVbQXPDZ92Q5LHVvw==,0.26,0
s3sJcRXZ+IUA9dJaQlrZ1Q==,4DARzh6Ve2AKbH5u6p1Fgg==,0.26,0
SkpGdXwo0M6Veksy0gRQEQ==,fnc1iiDu8hQtiQEgx4n2xg==,0.26,0
I+OyyHoG7GUnn3R6wZkvsw==,ZVpol55PrqTluO1BJCI3xQ==,0.305,1
QWNZuz0oloVhbcB4Xt9LCQ==,cLLQcB0WWDPYAn1Gr4bXEg==,0.35,1
krs5ewC6K7SHdi89Tcz2hA==,dfOGDayC7Jel69wUWrFDbA==,0.26,0
JoFWwOj1ZMiI9bLtRJEvaw==,xD9Vid092nCbDo9mSEYZ4w==,0.305,1
Uujt30NQMa5rZZ3MouSuPA==,+Omwz1AOExxfJ80zQLd3Aw==,0.305,1
OV8rgKalb7Sy5AnBSpQosw==,eGZ4rymCzBHxNhdy1l1jbA==,0.35,1
YZHX5zAirQ1e1CBV3tfqhQ==,U24gZxlxxpRRB4eHE6eRvQ==,0.305,1
gkgZP9KTSU0DsOP1YNZlvA==,kpY1cvvB04iio3ybyNFw0A==,0.35,1
mGf1yIyvxTZNkYvBZ9Zr7g==,EiK+Zhw+zviV/gakont07Q==,0.26,0
cfbUcLWvXa7yK5r7aFJORw==,5yiMbYwoWR+7dVm+x94zmQ==,0.26,0
Qh949fxsXVvLJbXdxsSMpQ==,iT+bb8BIxjXqcBPluS5ZZw==,0.26,0
bTya+cAM5EGmZxMKm7zEDA==,RcHhuEY8R/vCRxGVmfx7cQ==,0.26,0
iot75blvy2x3JNHDfpF2kA==,aK7HDD79ai1LzTwm/uXF2A==,0.35,1
wgYVyN6tI9VIsZbTHCuP4A==,qeeEeYrZj4GHC4oCf9g7Vg==,0.35,1
wK4Fzo+7P5BFEx0yPfFlww==,agBjceTLrFw87lFDDmGa1g==,0.305,1
6fzykWQO49dfADszorwkhA==,PT78Zs+zzanD0N/ZRG5JjQ==,0.35,1
9oh1r/01x3e1sUjGxzmrpQ==,eUA0+h+L7HrFfjHoMX/GiQ==,0.35,1
i3CH3iwSZ73VMJ2T0TouFg==,Ga3BIH8DXnBqIkMtcmRS/Q==,0.35,1
O0kDtoSK4Ci76pu48KNnbw==,UQydoJu13bC13vmw37mRRw==,0.35,1
vOjM1HQH7JYC1uY7BFvXnQ==,qHKiDM/P0CDWyxmG0yVFPg==,0.35,1
GKjsRhbIBT0Z+BqWiL4GGw==,IAy3hk0u4Wd60SdzEyOxYg==,0.305,1
xelW+VJOtgugAW3ip/s2bg==,TIEJcubK9vrCi/r5sMTzeA==,0.35,1
34d6R9fE3imHxMkcsL0oAQ==,h/xaTcDHyudzYS9JWMxUUg==,0.26,0
w3Ph1lDVtkmOJsEIr+5TUw==,NmWooXiqWGNcGxpABfOQsw==,0.26,0
uUXFYrIdtWvt4A9AoHAOWQ==,AeCFcTK3W+EZrKOFq8ibOg==,0.35,1
mZWQ9dfFRwJwgh41kAL4gQ==,T8HdbxtuVE5LvCz3e7ytEA==,0.26,0
GXM8sr3Syy2YNd2DPMIRPA==,iANPa40R6wT9Q5W9evZQ2w==,0.44999999999999996,1
bBndWLU+ThDqNSZrU1+WVA==,NCp8Qhe7dSXagBQiQ2fj/A==,0.35,1
BE0Wb8IDtDsStA0Eg2njQA==,DstbojYZ4JMSCTSwfYeStA==,0.26,0
plR3dUs6S6eamGoZe6kHBg==,TBr+9sMjjl5BoYc9jd51Iw==,0.35,1
ojecLGAXmOiLVhEYxZezqg==,9FP9Q4P9ttNOk8XYFIbagg==,0.35,1
tMUxqWQCksl/hGudy/3/7g==,vq2S8REEHfjBMB58ypsg0g==,0.305,1
FsrO0gAOgTo8AslNPUcv6Q==,ibBeSoEp6BtwFV5A21faLA==,0.35,1
VfgAwuKiMuM1+SM26bOeUA==,hrmwI4Jl5ZTUhvK7Pckqqw==,0.35,1
iV+uTa8E6e7QidbM2SBPTg==,HeFWNXUyPKM2xmogzLfz8g==,0.26,0
2j8NQ22Mi2GiC5PFN5h1fw==,QfumgnKEbINKU4PzVzAX6A==,0.26,0
PuP9mll/uLbv25RCatJ10Q==,k2CmpANURilsZqy8TeLT4Q==,0.26,0
8/83s7u+WmSIuCm4kRngLw==,XH90YMFbAPx9O/OGhe/aNQ==,0.35,1
rcXle64IC6L/DVjJzsLRqw==,2W82C72bDeXeBGNLgx/4/A==,0.35,1
0+JyOP3oL1tlkPKzRRB0qw==,5Ve2MCS+r9ayjGR9kcRwTA==,0.26,0
YvK4GQBRaZs/d7+3dO8Qhg==,QEkOPlkC5PSoJGQNCfeKxg==,0.26,0
LO424z87PmX7kXim8iRpgQ==,F8FsvoEjtGXQLIYAZaldLg==,0.26,0
NCeRGJ9bkRXAnt4aBIhK4g==,3cKGT5oMOu+9ZEyCC7hZxg==,0.26,0
RiJk+4GFRgAjr+aPZtoCSw==,l1TR0nX/eLJ8NKZgk+Qt7Q==,0.26,0
HeHSDtWPEI/xIGwm04qfHQ==,Kf6H+RctPwU7B3aW6pWNiw==,0.26,0
iStMELVol+57skuDInfaQQ==,I0dAzAZiPVfOMg1Wr+FSmQ==,0.35,1
kOAWOGZnSQUarSXV3EdbFg==,Vn3QBdva2udjcINvctWrzg==,0.26,0
C1CzxUGQWAXvAjdV1JTHyQ==,AuM0/f4BFH1H0D2NSIJHMA==,0.305,1
bb+wvjUiGSL25pNVARk4Qw==,pXB6PtiDUdndfpG2/mbfag==,0.26,0
JOF+/3XwtF7Y0Ua7LRx9CQ==,hkqWpQo64suhcgMxPDclTQ==,0.26,0
BXeNDjooCJNrnu6LDSiFlw==,IUPHbzLHHi7BADa/q8PI0w==,0.305,1
3Llnu+v8J4Fg470sPgu8aQ==,dIpE5dh9n/gCkYliwvh2ug==,0.305,1
OVE6nnPnyf9N8MZ+kWh52A==,/KEiiQ62kXNFDWKr2XHQHQ==,0.35,1
o8yimP1NU8KcS3fXbmXkxA==,MsntJU32CywYkYziUlG5Fg==,0.305,1
cjE37P6Xa7UbUwhkSEdKNA==,xUErYu46XwUrMlejTVl0Yw==,0.305,1
cR4iiTZeXG4o7DC1S3Lu5w==,NbFkv3QlJDauuBM1aHMfZw==,0.35,1
MGT8KoqZ65kyEZrSviXevw==,N4woKlgkRmJGXbfupL5ARA==,0.26,0
+VBcK0t2uLNQ/qA1xKj8Fg==,vrG+ZfgvuE79cBzL/YzySw==,0.305,1
ckBSMeVuQPYj26xLRpjTRA==,OzBrZkr4MggR9wQfnGOJoQ==,0.405,1
EkdA8uL1YFxQVmpzsNqrnA==,DkCjV8/cr8QIwqmZiy9v0w==,0.305,1
EpwxsV7XRz76F6J1f7x7tQ==,toLbE81pJmeA5Nn7qD1gDA==,0.35,1
fcGl4JvuUvGLRUp0dQV8TQ==,pto9diRPLFG7AX1RBwtLgw==,0.35,1
eFHEpuuRUB+YBtrlFGDd/g==,gJE9HGIQv8y7KKZTTJZloA==,0.26,0
0c+4uijYmzSW43TUxYZ5Rw==,RWVix68VOC5N0hjDUi0S+g==,0.26,0
/RasBncpIkMoGEmbohrLlw==,qphYa71FTz5NDyggrc+iyw==,0.26,0
xHsqqc1tEBH37Q51zORYLA==,hujzuy+P7alCMhbSilMdhw==,0.35,1
fDWu6f84As2/rrhXJ0HXpQ==,itCZ4oYf0lY6+qL3LkGkyg==,0.26,0
57fJQym9ySvsu00xrwBylA==,SpPi4zgjA+4DounAqo9+hw==,0.26,0
A6CNLWWS+AD18HTL2113xQ==,aDrNUl+5uz2HdlCSRBxJOw==,0.26,0
IdWWdhvdlZCEaIf7DfdTjA==,GfQeL9RXntrDnR8OyFWVSw==,0.305,1
Es3f1S1E32DFp7nivMrnbQ==,4yq1gpz22epDgSj2j7A/sQ==,0.26,0
SEsahp14Z8qLYpdXrayDWQ==,ZF+GolJuNt2N8IrJ/TpVZw==,0.26,0
/mLgLRVLG9UAGhCvbOqldA==,eD8gjdBpdI88wMtlwiOotQ==,0.305,1
Cu/lCuoS9dom2+TnWuwfuA==,QmmU5zuTBgZEdH2etFPUxg==,0.26,0
m9iuhBUiVtuo/XyOpFjqyA==,1Qpjtb7nCKbU//xcPnNzBg==,0.35,1
dZxRQUVZ571dJ/yUjhB7ew==,kD7JGWW/4JE3YZE0IEwdKQ==,0.305,1
7b78kkzk6wN25LY+RYzp5A==,/a66hgasdhtpzrKx2f90Gw==,0.305,1
iOcsyhtMOoymsA/QWQ+WMg==,XBaydGZz+udR1DbQd+iNcA==,0.35,1
YTO7E2xY2gS1zzVqNiE+xQ==,Ls505OtLyfxg9H5UnRlW2w==,0.26,0
KJ+H0Ez9979R5TqrNU4KLw==,Z3bohSRcHO0/nuXaFJcPXw==,0.35,1
9wCQ43MXdLjA9K4HRYA3EA==,18pMrlUpaYtOauz/t1bFDA==,0.35,1
rNbzAr9gi4cdqe826yav/g==,pBq6FLsIqH9Nl1LTaeuL/Q==,0.26,0
0L3VJ38yU8VYu6Cxt+cfpQ==,aSyvc/PALr8T2oi5ktRM8Q==,0.35,1
uh8pb6Nf5dCF5pIbtmbT2Q==,LUcYnVs8jYe+7XhcV+ZaHw==,0.35,1
ynJgQ4wgplvbDRPDs5QE+w==,ovAajEgf49c+9TVyFJDi9w==,0.26,0
/UWG2+Ee7Hmmz/E1rb7uyA==,mbKCpLRDRk7zEMhTR1bguw==,0.26,0
9cGmCZoKFEDYlkkRKnuDmQ==,1MN2DtzyfpxYHQCoVVowOA==,0.26,0
V/X3wtlC3TXQTbvhXCWbow==,dVWUfU/YXG4wI+OYazh/5w==,0.305,1
hh+QKz1R+iqyTlGECQvMXw==,6uJvIjyFMJrwu7e/Imbpmg==,0.35,1
+UMxIBds35BL5ErDAoUIrw==,d3yR/7XjjUqvciueAV2/Fg==,0.35,1
yO+cieE9pnJx5Oa+Rad5SQ==,8LGCLDiPLHJiQQPd3VF4kA==,0.26,0
dStc5piYM6F4ENfv/uFqOA==,amqp3C/iKj9DXsu5/i463w==,0.305,1
bJkQFz+5qjhi1splRZgRrw==,gF0TePDJR3DN4tBxtjhrUQ==,0.26,0
sIn2ANxhVRuATg+oj3YydQ==,yUffw19Iz3LjfOZmz+WGYQ==,0.26,0
ipGb81vMzYvgInEtLPulkQ==,bzruzY3hNIC1mVGXGEJyXw==,0.35,1
zlpYytuSnyuYLzfhjWmjYg==,axGaz6vGCfuJ6xK96ekUXQ==,0.35,1
ALqJMVNe2FZ2FEejtrGUlQ==,50f7SFVSJri6EbKu7RYjOg==,0.26,0
G+JGi0njs2QxIOxEM23dNA==,I2LodZUJQkVlO15ck4rW4Q==,0.26,0
JdrAweau7EGWXuErSwpZVA==,SG/0jcnZTuT3xGcTH4/QLw==,0.35,1
D4rpiYJrqhQ2Yv1OgfTyeg==,wwkzw/3z2213z68bmCvl1Q==,0.26,0
1NUAky7ntYLp7kZD8MmBhw==,2xRSfbXFHEfQw1XXw4wOEg==,0.35,1
gNGB8/voaoQGho3mQkV4fQ==,0m/zfhHmbt4xK384mATKgA==,0.305,1
Ur1Njt6iJtHXufQQxsmyIQ==,vImx+YyNs+/kjxocpfNspQ==,0.26,0
mokty5XwLn6njxrYoqvHlA==,p4D6huU09FruGozLEXZPIQ==,0.35,1
8wu11weBte7tYgIzPCr0aw==,4JW7gJbNSZzKTGZxgtel/A==,0.26,0
s+ciyORc7ss7QOumWaaqNw==,cTgyhYv5o073nHHWVLOY9A==,0.35,1
P7JdGFCI5NosOvWi6G9CtQ==,R3eVqpqt+HTF7dmAG6BOVQ==,0.26,0
upLc/zrs1ss6bLehZEn72A==,gZHWJfGnYg1zXgiCxaAL9w==,0.35,1
DrWTVoy9HQG27YQpaZeZfg==,vU4orJI144PeYnsDYL0QyQ==,0.305,1
mrCM57Q4D/iHgESajdFqLg==,w96ddgo34RunC1CEQCr61w==,0.26,0
Qkg1hh3tHfGOx0rw/mcLOA==,OdaT5ZO7VglszCEQSMoEoA==,0.26,0
w1dYJnqNdLcxNNf+BSRh5A==,0qHQZPQqH6CJlKbszUhEHQ==,0.35,1
8WRibVqf4AyYLH9rRp+IDw==,80Ij37FReFWZd4LV9y9uUA==,0.35,1
pZuS9hW5E9CzNSFMBbhNxQ==,LQnoK85K+BUEuYvYdaqDsw==,0.35,1
uOdG3muaYmY+5U0FJ/hxrw==,Fg8jpgYhJ/rapE9OdggU6A==,0.26,0
q5zK+k66Rhlr8WS7gxcjjQ==,SoneQhxbQ+zzq8tCRqTruA==,0.305,1
H4/yyN0H+qnlcfG2lMok3Q==,wLr9J+rCuVvXHhxPmrk5wQ==,0.35,1
GSUWjG6xrsLy4XayreX3kQ==,Nlb2ntJeTrlnK58V23grMg==,0.26,0
X6HX1j1Wbc8y5kptCoklqQ==,DAQyarOAJxF5TaerLdTerw==,0.305,1
oI8ZAjM/5ech687nQOcuzA==,jTwSwzjAdplnovsO+wDL+Q==,0.26,0
d86impSX9CzEMFn+0Vs1EA==,CSSlsWFx7xt14wKQ2U+GSw==,0.35,1
SILkkhKd/2EUJo13JqdKRw==,QfHRiEKvUTGxUxJZrDbhOA==,0.26,0
P+lydPq7/cNYJH5Wt7WaGw==,xwsZthXGwtsj/IGTrOW7eQ==,0.305,1
YTvywdaC9O4tAUnVsQcgaQ==,X7gA/5ystaYuCHiIxuIbFA==,0.305,1
it1MWAUpxLLQBZi60/GAvg==,3XeBeu9lmKho1ToUHeL4XA==,0.26,0
H0yanD3QrV3T/bnZVNVcvw==,+Rc1nuJaWYFdc2uPjxlTRg==,0.26,0
tWQVawLvUNKfd6L0b8sMXA==,2p4Z0aTysuv5eWqopA+/xQ==,0.305,1
nJS7TvxLNTxr2Iwvdc9a4A==,rR/1JTKaPfBqoI9mYl0BBQ==,0.26,0
eECuEmPdBSjEY7efbxQOOQ==,ZqGCrAuHMLAav+9I2PNdHg==,0.35,1
INdi29AnyQglcaaiF8IN8Q==,HpGlurPjrxAgamWOPX4N5A==,0.26,0
ccZ49uVhE/7zLneezBWtNw==,r4EpT2hkkZvhxfHz0fTEFg==,0.26,0
XAU0elPysLT2cGu6oeI25g==,sYl6sYVQpgI7PecN6oNd1w==,0.26,0
b47iFbPZPhu5Z07M2t40AA==,/g5OHUYssH3zN+Z2zEsVLA==,0.305,1
PUmc0RVU9yRj30J4C69BHQ==,7ORPzWWdX2XDSg/tMDUU8w==,0.26,0
R+UKpQBJcxuKweBo+ohXmA==,TFSWR/u8QaKbfP2XgnLqVQ==,0.26,0
RHjFSg683K+AAv+4f4rHVQ==,4EGqLc2qKvjfOJSr9FHj1Q==,0.35,1
yvH8ZhfkaPK31bbnH9fB7g==,Pqs4bK2zN8Yz9+ISHBI4Xw==,0.35,1
n0gmSC79ECyh8a10TWk6Tw==,5x5IfOIB31cwDdKJpfbJoQ==,0.35,1
t+jjn7OE00XqtZZQX8xpiw==,jUIolgzMTdtfplIFPIIh8w==,0.26,0
94Rf9+lL9JUoOcQYK3thMg==,1zaxWt91vL+7Qh6g86JvZw==,0.35,1
ZprV7UQ3JlapGKCmPx2aLA==,1TLBFhwiEJxQzwhx9iWP0w==,0.26,0
5kevZCDn2UqYnLdAOXL0Iw==,77LlGI0KXvEY8eLyAJpcOQ==,0.35,1
7bScL8arl3ZLk84LxGHcrg==,GgH6nbxFfY5mTox3pxVodA==,0.26,0
PlTpAV3qn6jGqwBAzckpgA==,7F5jlIjJz2naEfHYkdTAxw==,0.26,0
9tvsrqfCGz+HOpP928H4jg==,pnOabCV28LuTFVEUY+zS6Q==,0.305,1
8AS2v/ZltvvqxOxmwl8Zhw==,4uFVFxN7O/P+U5W0Ec4YIA==,0.26,0
MGKgtxukcwAM+tcYtPS6kA==,ANP/mydBHnztfKo9WL/mKw==,0.35,1
l+yURoKcm/eC0wohl4khgw==,atA1ao/KFsAo1yPCxdK43Q==,0.26,0
9F7cHfV21gwZmTkebLfLYA==,CLXLhXsK2FxZbhAFkVpb3g==,0.35,1
1NuCGeiZ5v6S2fgX6wBfxw==,le7rMM0WUF/bV7rEdW8ctg==,0.26,0
FVXajvbo8uX3laM7U4mp6A==,83vvcrttaBCTNY9eNtcQMg==,0.26,0
NhtFCzXBRBfqP8yS5p0/EA==,LjUvPFHO29z36e5oNzNJEQ==,0.305,1
R0YqWB3nIp1Q2V7OpuOKow==,tOs4zGiTP9CJOmdVHyhZ0Q==,0.305,1
MfaC0U63YQ43ejO70pYbHg==,+bDeguaGEwtny9Y9AhTMLA==,0.26,0
8BLlbfwGGqL1Ank41ypm2g==,gZql8aOnFwVBkIJqmgp7UQ==,0.35,1
HKEK672wi5jdLY8SYL/dWg==,8hld/usuhbe0j73N8pOQsw==,0.26,0
cYLbASyIll87+tZrSZbJpQ==,0BCvi54Kp6vrvfTKewwaaQ==,0.305,1
q0C6m+vmnZ76amUGyHmE2g==,inQTSuMxBpslFjVOW8jc0A==,0.305,1
WU4JoVE4Tah+BqARJGo7gQ==,UFkL39XvPMQm2J6KwH6ORA==,0.305,1
